"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","numBlurs"
"pavlovia","0","12","0.0-0.0","","","","","","",""
"instructions","1","171741","0.0-1.0","[{""page_index"":0,""viewing_time"":171728}]","171728","","","","",""
"","","","","","","blur","2","175607","blurevent","1"
"","","","","","","focus","2","258308","focusevent",""
"","","","","","","blur","2","258315","blurevent",""
"","","","","","","focus","2","258443","focusevent",""
"","","","","","","blur","2","258451","blurevent",""
"","","","","","","focus","2","258591","focusevent",""
"","","","","","","blur","2","258598","blurevent",""
"","","","","","","focus","2","258726","focusevent",""
"","","","","","","blur","2","258733","blurevent",""
"","","","","","","focus","2","258864","focusevent",""
"","","","","","","blur","2","258870","blurevent",""
"","","","","","","focus","2","258988","focusevent",""
"","","","","","","blur","2","258994","blurevent",""
"","","","","","","focus","2","259119","focusevent",""
"","","","","","","blur","2","259125","blurevent",""
"","","","","","","focus","2","259258","focusevent",""
"","","","","","","blur","2","259265","blurevent",""
"","","","","","","focus","2","259396","focusevent",""
"","","","","","","blur","2","259403","blurevent",""
"","","","","","","focus","2","259517","focusevent",""
"","","","","","","blur","2","259523","blurevent",""
"","","","","","","focus","2","259630","focusevent",""
"","","","","","","blur","2","259636","blurevent",""
"","","","","","","focus","2","259747","focusevent",""
"","","","","","","blur","2","259753","blurevent",""
"","","","","","","focus","2","259864","focusevent",""
"","","","","","","blur","2","259870","blurevent",""
"","","","","","","focus","2","259986","focusevent",""
"","","","","","","blur","2","259990","blurevent",""
"","","","","","","focus","2","260133","focusevent",""
"","","","","","","blur","2","260139","blurevent",""
"","","","","","","focus","2","260248","focusevent",""
"","","","","","","blur","2","260254","blurevent",""
"","","","","","","focus","2","260369","focusevent",""
"","","","","","","blur","2","260374","blurevent",""
"","","","","","","focus","2","260480","focusevent",""
"","","","","","","blur","2","260485","blurevent",""
"","","","","","","focus","2","260596","focusevent",""
"","","","","","","blur","2","260602","blurevent",""
"","","","","","","focus","2","260709","focusevent",""
"","","","","","","blur","2","260715","blurevent",""
"","","","","","","focus","2","260953","focusevent",""
"","","","","","","blur","2","260959","blurevent",""
"","","","","","","focus","2","261065","focusevent",""
"","","","","","","blur","2","261070","blurevent",""
"","","","","","","focus","2","261178","focusevent",""
"","","","","","","blur","2","261184","blurevent",""
"","","","","","","focus","2","408784","focusevent",""
